Stream,College Name,College Logo,College Background Image,Location,Affiliation,Rating,Course,Fees
Management,"IIMA - Indian Institute of Management, Ahmedabad",https://images.collegedunia.com/public/college_data/images/logos/1701684988Screenshot20231204at3.46.10PM.png?h=71.17&w=71.17&mode=stretch,https://images.collegedunia.com/public/college_data/images/appImage/25494_IIMA_AppImage.jpg?h=240&w=1000&mode=crop,"Ahmedabad, Gujarat",Autonomous University,4.5,PGPM,₹25 Lakhs (Total Fees)
Science,"St Stephen's College, New Delhi",https://images.collegedunia.com/public/college_data/images/logos/14919074881412841375Logo.jpg?h=71.17&w=71.17&mode=stretch,https://images.collegedunia.com/public/college_data/images/appImage/14919074884953SSCNew.jpg?h=240&w=1000&mode=crop,"New Delhi, Delhi NCR","DU, New Delhi",4.4,B.Sc {Hons.},"₹24,670 (1st Year Fees)"
Engineering,"IIT Madras - Indian Institute of Technology - [IITM], Chennai",https://images.collegedunia.com/public/college_data/images/logos/1434977143jpjpjpjpj.jpg?h=71.17&w=71.17&mode=stretch,https://images.collegedunia.com/public/college_data/images/appImage/1509430807cover.jpg?h=240&w=1000&mode=crop,"Chennai, Tamil Nadu",Autonomous University,4.2,B.Tech,₹2.15 Lakhs (1st Year Fees)
Arts,"Lady Shri Ram College for Women - [LSR], New Delhi",https://images.collegedunia.com/public/college_data/images/logos/1559556886lsrlogo9.jpg?h=71.17&w=71.17&mode=stretch,https://images.collegedunia.com/public/college_data/images/appImage/14918218951444135101LSRCNEW.jpg?h=240&w=1000&mode=crop,"New Delhi, Delhi NCR","DU, New Delhi",4.3,BA {Hons.},"₹19,170 (1st Year Fees)"
Commerce,"Shri Ram College of Commerce - [SRCC], New Delhi",https://images.collegedunia.com/public/college_data/images/logos/14916429701410765919srcclogo.png?h=71.17&w=71.17&mode=stretch,https://images.collegedunia.com/public/college_data/images/appImage/4417_SRCC_New.jpg?h=240&w=1000&mode=crop,"New Delhi, Delhi NCR","DU, New Delhi",4.4,B.Com {Hons.},"₹29,350 (1st Year Fees)"
Computer Applications,"Christ University, Bangalore",https://images.collegedunia.com/public/college_data/images/logos/1505110433fvvvvvvvvvvvvvvvvvvvvvvvvvvvvv.png?h=71.17&w=71.17&mode=stretch,https://images.collegedunia.com/public/college_data/images/appImage/1505110380ccaaaaaaaaaaaaaaaaaammmmmmmmmmmm.jpg?h=240&w=1000&mode=crop,"Bangalore, Karnataka",Deemed To Be University,4.1,B.Sc,"₹84,000 (1st Year Fees)"
Education,"Lady Shri Ram College for Women - [LSR], New Delhi",https://images.collegedunia.com/public/college_data/images/logos/1559556886lsrlogo9.jpg?h=71.17&w=71.17&mode=stretch,https://images.collegedunia.com/public/college_data/images/appImage/14918218951444135101LSRCNEW.jpg?h=240&w=1000&mode=crop,"New Delhi, Delhi NCR","DU, New Delhi",4.2,BA {Hons.},"₹19,170 (1st Year Fees)"
Madical,"All India Institute of Medical Sciences - [AIIMS], New Delhi",https://images.collegedunia.com/public/college_data/images/logos/149154157555.jpg?h=71.17&w=71.17&mode=stretch,https://images.collegedunia.com/public/college_data/images/appImage/1507714139ccccccccccccccccccccccccccccccc.jpg?h=240&w=1000&mode=crop,"New Delhi, Delhi NCR",Autonomous University,4.2,M.B.B.S. ,"₹1,628 (1st Year Fees)"
Pharmacy,"Jamia Hamdard University, New Delhi",https://images.collegedunia.com/public/college_data/images/logos/1491828362col32795.jpg?h=71.17&w=71.17&mode=stretch,https://images.collegedunia.com/public/college_data/images/appImage/25459_JAMIAHAMDARD_APP.jpg?h=240&w=1000&mode=crop,"New Delhi, Delhi NCR",Deemed To Be University,4.2,MBBS,₹9.91 Lakhs (1st Year Fees)
Paramedical,"Christian Medical College - [CMC], Vellore",https://images.collegedunia.com/public/college_data/images/logos/1458024878logo.jpg?h=71.17&w=71.17&mode=stretch,https://images.collegedunia.com/public/college_data/images/appImage/10343_CMC_New.jpg?h=240&w=1000&mode=crop,"Vellore, Tamil Nadu","TNMGRMU, Chennai",4.4,MBBS,"₹41,895 (1st Year Fees)"
Law,"National Law School of India University - [NLSIU], Bangalore",https://images.collegedunia.com/public/college_data/images/logos/1411995789Capture3211.png?h=71.17&w=71.17&mode=stretch,https://images.collegedunia.com/public/college_data/images/appImage/25621_NLSIU.jpg?h=240&w=1000&mode=crop,"Bangalore, Karnataka",State University,4.4,L.L.M,₹4.13 Lakhs (Total Fees)
Mass Communications,"Indian Institute of Mass Communication - [IIMC], New Delhi",https://images.collegedunia.com/public/college_data/images/logos/14926834051425458817ascd4trgdgfcvgthumammta.jpg?h=71.17&w=71.17&mode=stretch,https://images.collegedunia.com/public/college_data/images/appImage/14926834051443518270IIMCNEW.jpg?h=240&w=1000&mode=crop,"New Delhi, Delhi NCR",Deemed To Be University,4,Post Graduate Diploma ,"₹55,500 (Total Fees)"
Design,"National Institute of Fashion Technology - [NIFT], New Delhi",https://images.collegedunia.com/public/college_data/images/logos/1412068623h_logo.gif?h=71.17&w=71.17&mode=stretch,https://images.collegedunia.com/public/college_data/images/appImage/27897_NIFT_New.jpg?h=240&w=1000&mode=crop,"New Delhi, Delhi NCR",Autonomous University,4,B.Des,₹3.26 Lakhs (1st Year Fees)
Vocational Courses,"TISS Tata Institute of Social Sciences, Mumbai",https://images.collegedunia.com/public/college_data/images/logos/1450952592Untitled.jpg?h=71.17&w=71.17&mode=stretch,https://images.collegedunia.com/public/college_data/images/appImage/25729_TISS_APP.jpg?h=240&w=1000&mode=crop,"Mumbai, Maharashtra",Deemed To Be University,4,M.H.A [Hospital],"₹79,000 (1st Year Fees)"
Hotel Management,"Institute of Hotel Management, Catering and Nutrition - [IHM], Pusa, New Delhi",https://images.collegedunia.com/public/college_data/images/logos/1492751950121.jpg?h=71.17&w=71.17&mode=stretch,https://images.collegedunia.com/public/college_data/images/appImage/14927519501445245152IHMPUSANEW.jpg?h=240&w=1000&mode=crop,"New Delhi, Delhi NCR","IGNOU, New Delhi",4.1,Bachelor of Science [B.Sc] (Hospitality and Hotel Administration) ,₹1.52 Lakhs (1st Year Fees)
Agriculture,"Indian Agricultural Research Institute - [IARI], New Delhi",https://images.collegedunia.com/public/college_data/images/logos/1491901587logo.png?h=71.17&w=71.17&mode=stretch,https://images.collegedunia.com/public/college_data/images/appImage/1491901587cvr.png?h=240&w=1000&mode=crop,"New Delhi, Delhi NCR",Deemed To Be University,4.4,Master of Science [M.Sc] ,"₹43,150 (1st Year Fees)"
Architecture,"IIT Kharagpur - Indian Institute of Technology - [IITKGP], Kharagpur",https://images.collegedunia.com/public/college_data/images/logos/1489041138e2.jpg?h=71.17&w=71.17&mode=stretch,https://images.collegedunia.com/public/college_data/images/appImage/1488973535e1.jpg?h=240&w=1000&mode=crop,"Kharagpur, West Bengal",Autonomous University,4.3,B.Tech,₹2.26 Lakhs (1st Year Fees)
Animation,"IIT Bombay - Indian Institute of Technology - [IITB], Mumbai",https://images.collegedunia.com/public/college_data/images/logos/1431953162ccgsygdygw.jpg?h=71.17&w=71.17&mode=stretch,https://images.collegedunia.com/public/college_data/images/appImage/25703_IIT_New.jpg?h=240&w=1000&mode=crop,"Mumbai, Maharashtra",Autonomous University,4.4,B.Tech,₹2.31 Lakhs (1st Year Fees)
Dental,"King George's Medical University - [KGMU], Lucknow",https://images.collegedunia.com/public/college_data/images/logos/1498220102logo.png?h=71.17&w=71.17&mode=stretch,https://images.collegedunia.com/public/college_data/images/appImage/1498220102cvr.png?h=240&w=1000&mode=crop,"Lucknow, Uttar Pradesh",State University,4,MBBS,"₹54,900 (1st Year Fees)"
Aviation,"Lovely Professional University - [LPU], Jalandhar",https://images.collegedunia.com/public/college_data/images/logos/1705314547logo.png?h=71.17&w=71.17&mode=stretch,https://images.collegedunia.com/public/college_data/images/appImage/1705314883unnamed.jpg?h=240&w=1000&mode=crop,"Jalandhar, Punjab",Private University,4.2,B.Tech,₹2.8 Lakhs (1st Year Fees)
Veterinary Sciences,"Banaras Hindu University - [BHU], Varanasi",https://images.collegedunia.com/public/college_data/images/logos/1434627772BHU.jpg?h=71.17&w=71.17&mode=stretch,https://images.collegedunia.com/public/college_data/images/appImage/25924_BHU_APP.jpg?h=240&w=1000&mode=crop,"Varanasi, Uttar Pradesh",Central University,3.9,MBA,"₹50,007 (1st Year Fees)"
